Index,Shape,Description,Image URL,R,G,B
1,Circle,A round shape with all points on its boundary equidistant from its center.,http://mrmrsenglish.com/wp-content/uploads/2024/02/1-24.png,220,44,68
2,Square,A quadrilateral with all sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/2-24.png,4,188,100
3,Triangle,A three-sided and three-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/3-24.png,252,211,4
4,Rectangle,A quadrilateral with opposite sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/4-24.png,19,180,236
5,Pentagon,A polygon with five sides and five angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/5-23.png,225,4,35
6,Hexagon,Six-sided and six-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/6-23.png,139,204,179
7,Heptagon,A polygon with seven sides and seven angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/7-23.png,252,195,75
8,Octagon,Eight sides and eight angles make up a polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/8-24.png,44,59,148
9,Nonagon,A polygon with nine sides and nine angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/9-24.png,99,195,171
10,Decagon,A ten-sided and ten-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/10-24.png,92,147,252
11,Dodecagon,A polygon with twelve sides and twelve angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/11-23.png,211,220,99
12,Oval,A rounded shape resembling an elongated circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/12-23.png,51,212,252
13,Rhombus,A quadrilateral with all sides of equal length but with opposite angles not necessarily equal.,http://mrmrsenglish.com/wp-content/uploads/2024/02/13-22.png,68,155,164
14,Parallelogram,A quadrilateral with equal length and parallel opposing sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/14-22.png,231,92,105
15,Trapezoid,A quadrilateral with a minimum of two parallel sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/15-22.png,236,60,60
16,Equilateral triangle,A triangle with equal lengths on each of its three sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/16-22.png,235,27,76
17,Isosceles triangle,A triangle having a minimum of two equally long sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/17-24.png,115,196,203
18,Scalene triangle,A triangle with all three sides of different lengths.,http://mrmrsenglish.com/wp-content/uploads/2024/02/18-24.png,252,100,195
19,Right triangle,A triangle with one angle measuring 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/19-24.png,4,188,100
20,Acute triangle,A triangle with all three angles measuring less than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/20-24.png,228,180,156
21,Obtuse triangle,A triangle with one angle greater than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/21-23.png,252,196,66
22,Kite,A quadrilateral with two pairs of adjacent sides of equal length.,http://mrmrsenglish.com/wp-content/uploads/2024/02/22-23.png,155,196,203
23,Star,A shape formed by intersecting lines or curves radiating from a central point.,http://mrmrsenglish.com/wp-content/uploads/2024/02/23-23.png,244,171,27
24,Crescent,A curved shape resembling a segment of a circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/24-23.png,238,192,103
25,Heart,A symbol with two curved sections meeting at the bottom and a cleft at the top.,http://mrmrsenglish.com/wp-content/uploads/2024/02/25-23.png,196,51,43
26,Arrow,"A straight, pointed shape indicating direction.",http://mrmrsenglish.com/wp-content/uploads/2024/02/26-24.png,5,188,100
27,Diamond,A quadrilateral with all sides of equal length and opposite angles equal.,http://mrmrsenglish.com/wp-content/uploads/2024/02/27-24.png,192,219,230
28,Cube,A three-dimensional shape with six square faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/28-24.png,236,160,108
29,Sphere,A perfectly round three-dimensional object.,http://mrmrsenglish.com/wp-content/uploads/2024/02/29-24.png,222,47,69
30,Cone,A shape with a circular base tapering to a point.,http://mrmrsenglish.com/wp-content/uploads/2024/02/30-23.png,252,196,75
31,Cylinder,A shape with two parallel circular bases.,http://mrmrsenglish.com/wp-content/uploads/2024/02/31-23.png,251,163,99
32,Pyramid,A polyhedron with a polygonal base and triangular faces meeting at a common vertex.,http://mrmrsenglish.com/wp-content/uploads/2024/02/32-23.png,207,233,229
33,Prism,A polyhedron with two parallel bases and rectangular or parallelogram sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/33-23.png,251,218,226
34,Tetrahedron,A polyhedron with four triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/34-24.png,187,131,251
35,Octahedron,A polyhedron with eight triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/35-24.png,4,201,190
36,Icosahedron,A polyhedron with twenty triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/36-23.png,244,108,173
37,Dodecahedron,A polyhedron with twelve pentagonal faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/37-23.png,248,129,136
38,Torus,A doughnut-shaped three-dimensional object.,http://mrmrsenglish.com/wp-content/uploads/2024/02/38-23.png,223,197,108
39,Ellipse,A stretched-out circle with two focal points.,http://mrmrsenglish.com/wp-content/uploads/2024/02/39-22.png,4,155,76
40,Crescent,A curved shape resembling a segment of a circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/40-22.png,252,244,201
41,Annulus,A ring-shaped object formed by two concentric circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/41-22.png,184,40,97
42,Rhomboid,A parallelogram with unequal adjacent sides and oblique angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/42-21.png,140,83,252
43,Lune,A crescent-shaped figure created by intersecting circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/43-22.png,139,4,59
44,Triquetra,A symmetrical triangular figure with three interlaced arcs.,http://mrmrsenglish.com/wp-content/uploads/2024/02/44-22.png,203,203,203
45,Trefoil,A three-lobed or three-leafed shape.,http://mrmrsenglish.com/wp-content/uploads/2024/02/45-20.png,252,155,27
46,Lemniscate,"A figure-eight-shaped curve, often symbolizing infinity.",http://mrmrsenglish.com/wp-content/uploads/2024/02/46-20.png,220,139,139
47,Mobius strip,"A surface with only one side and one boundary, is formed by twisting a strip of paper.",http://mrmrsenglish.com/wp-content/uploads/2024/02/47-20.png,223,241,245
48,Cross,"Two intersecting lines or bars, typically forming a perpendicular shape.",http://mrmrsenglish.com/wp-content/uploads/2024/02/48-20.png,197,204,204
49,Infinity symbol,A sideways figure-eight symbol representing eternity.,http://mrmrsenglish.com/wp-content/uploads/2024/02/49-20.png,96,202,195
50,Quatrefoil,A four-lobed or four-petaled shape.,http://mrmrsenglish.com/wp-content/uploads/2024/02/50-20.png,252,244,226
51,Reuleaux triangle,"A shape formed by the intersection of three circles of equal radius, creating a curve of constant width.",http://mrmrsenglish.com/wp-content/uploads/2024/02/51-20.png,11,236,252
52,Cycloid,The curve traced by a point on the circumference of a circle as it rolls along a straight line.,http://mrmrsenglish.com/wp-content/uploads/2024/02/52-20.png,238,219,227
53,Epicycloid,A curve traced by a point on the circumference of a circle as it rolls around the outside of another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/53-20.png,187,187,192
54,Hypocycloid,A curve traced by a point on the circumference of a circle as it rolls around the inside of another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/54-20.png,65,65,166
55,Astroid,A four-pointed star-shaped curve formed by the path of a point on a circle rolling along another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/55-20.png,76,76,76
56,Cardioid,A heart-shaped curve traced by a point on a circle rolling around another fixed circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/56-20.png,216,216,216
57,Nephroid,A kidney-shaped curve formed by the path of a point on a circle rolling along another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/57-21.png,242,235,244
58,Spiral,A curve that starts from a central point and gradually gets farther away as it revolves around the point.,http://mrmrsenglish.com/wp-content/uploads/2024/02/58-21.png,33,32,32
59,Lissajous curve,"A complex, oscillating curve resulting from the intersection of two perpendicular sinusoidal curves.",http://mrmrsenglish.com/wp-content/uploads/2024/02/59-21.png,4,4,4
60,Rose curve,A petal-shaped curve characterized by specific equations involving trigonometric functions.,http://mrmrsenglish.com/wp-content/uploads/2024/02/60-21.png,215,232,244
61,Limaçon,A flattened loop-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/61-19.png,197,197,197
62,Hippopede,A figure-eight-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/62-19.png,235,241,248
63,Strophoid,A looped curve with a straight tail.,http://mrmrsenglish.com/wp-content/uploads/2024/02/63-19.png,212,221,204
64,Witch of Agnesi,A flattened loop-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/64-19.png,225,229,237
65,Triskele,A motif with three interlocked spirals.,http://mrmrsenglish.com/wp-content/uploads/2024/02/65-19.png,17,17,17
66,Hyperbola,A curve with two separate parts.,http://mrmrsenglish.com/wp-content/uploads/2024/02/66-19.png,235,27,76
67,Parabola,A U-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/67-19.png,211,213,246
68,Archimedean spiral,A spiral with constant separation between turns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/68-19.png,199,199,199
69,Fermat’s spiral,A spiral defined by polar equations.,http://mrmrsenglish.com/wp-content/uploads/2024/02/69-19.png,33,32,32
70,Sine wave,A wave resembling the graph of the sine function.,http://mrmrsenglish.com/wp-content/uploads/2024/02/70-18.png,230,230,230
71,Cosine wave,A wave resembling the graph of the cosine function.,http://mrmrsenglish.com/wp-content/uploads/2024/02/71-18.png,14,14,14
72,Square wave,"A wave with sharp, square-shaped oscillations.",http://mrmrsenglish.com/wp-content/uploads/2024/02/72-18.png,133,166,127
73,Sawtooth wave,A wave with linear rise and abrupt drop.,http://mrmrsenglish.com/wp-content/uploads/2024/02/73-17.png,85,87,87
74,Fractal,A complex geometric shape with self-similar patterns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/74-18.png,204,204,204
75,Koch snowflake,A fractal curve made of smaller triangles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/75-18.png,17,17,17
76,Sierpinski triangle,A fractal shape formed by dividing triangles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/76-17.png,202,202,202
77,Mandelbrot set,A famous fractal with intricate patterns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/77-17.png,251,246,227
78,Julia set,Fractal shapes associated with complex numbers.,http://mrmrsenglish.com/wp-content/uploads/2024/02/78-17.png,4,21,26
79,Cantor set,A fractal set of points on a line segment.,http://mrmrsenglish.com/wp-content/uploads/2024/02/79-17.png,25,26,28
80,Apollonian gasket,A fractal shape made by inscribing circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/80-17.png,4,4,4
